,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-06_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-06,R0c3,JE-TMA-42,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-06_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-06,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-06_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-06,R0c5,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-07_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-07,DAPI,JE-TMA-42,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-07_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-07,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-07_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-07,R0c3,JE-TMA-42,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-07_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-07,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-07_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-07,R0c5,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-08_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-08,DAPI,JE-TMA-42,15.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-08_c2_ORG.tif,R0,c2,ORG,JE-TMA-42-Scene-08,R0c2,JE-TMA-42,50.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-08_c3_ORG.tif,R0,c3,ORG,JE-TMA-42-Scene-08,R0c3,JE-TMA-42,200.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-08_c4_ORG.tif,R0,c4,ORG,JE-TMA-42-Scene-08,R0c4,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-08_c5_ORG.tif,R0,c5,ORG,JE-TMA-42-Scene-08,R0c5,JE-TMA-42,500.0,0.0
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-42-Scene-09_c1_ORG.tif,R0,c1,ORG,JE-TMA-42-Scene-09,DAPI,JE-TMA-42,15.0,0.0
