,0,1,2,3,4
R3_aSMA_AR_pAKT_CD44_JE-TMA-42_2019_12_09__10_09__2811-Scene-02.czi,10.0,50.0,250.0,500.0,150.0
R9_CK17_H3K4_gH2AX_ColI_JE-TMA-42_2019_12_18__10_42__2858-Scene-02.czi,10.0,30.0,400.0,200.0,20.0
R0_R0c2_R0c3_R0c4_R0c5_JE-TMA-42_2019_12_02__16_40__2792-Scene-02.czi,15.0,50.0,200.0,500.0,500.0
R8_CK8_cPARP_ColIV_CD20_JE-TMA-42_2019_12_17__09_44__2856-Scene-02.czi,10.0,20.0,400.0,500.0,500.0
R10_H3K27_pS6RP_CD31_GRNZB_JE-TMA-42_2019_12_19__10_04__2865-Scene-02.czi,10.0,20.0,400.0,250.0,200.0
R5Q_R5Qc2_R5Qc3_R5Qc4_R5Qc5_JE-TMA-42_2019_12_12__10_15__2832-Scene-02.czi,10.0,50.0,200.0,500.0,500.0
R7_Vim_CD8_CD4_PgR_JE-TMA-42_2019_12_16__13_49__2851-Scene-02.czi,10.0,20.0,500.0,250.0,500.0
R11_LamB1_CoxIV_HIF1a_CD3_JE-TMA-42_2019_12_20__09_43__2872-Scene-02.czi,10.0,30.0,200.0,1000.0,400.0
R2_PCNA_HER2_ER_Ecad_JE-TMA-42_2019_12_06__10_08__2808-Scene-02.czi,10.0,50.0,50.0,500.0,150.0
R12_Glut1_PDGFRa_LamB2_BMP2_JE-TMA-42_2019_12_23__09_44__2879-Scene-02.czi,10.0,45.0,300.0,300.0,500.0
R6_CK7_CD68_PD1_CD45_JE-TMA-42_2019_12_13__15_09__2845-Scene-02.czi,10.0,20.0,300.0,800.0,400.0
R12Q_R12Qc2_R12Qc3_R12Qc4_R12Qc5_JE-TMA-42_2019_12_24__09_02__2889-Scene-02.czi,10.0,50.0,200.0,500.0,500.0
R1_R1c2_CK14_Ki67_CK19_JE-TMA-42_2019_12_05__09_41__2800-Scene-02.czi,10.0,50.0,40.0,450.0,120.0
R4_CK5_EGFR_pRB_LamAC_JE-TMA-42_2019_12_10__09_43__2819-Scene-02.czi,10.0,30.0,350.0,1000.0,250.0
R5_pHH3_PDPN_pERK_FoxP3_JE-TMA-42_2019_12_11__09_53__2828-Scene-02.czi,10.0,20.0,500.0,1000.0,600.0
