,0,1,2,3,4
R3_pH3.CK14.CD44.CK5_BM-Her2N75-15-Scene-049.czi,30.0,80.0,120.0,1000.0,750.0
R4_Vim.CK7.PD1.LaminAC_BM-Her2N75-15-Scene-049.czi,30.0,60.0,35.0,1500.0,1500.0
R2_PCNA.Her2.ER.CD45_BM-Her2N75-15-Scene-049.czi,40.0,80.0,60.0,1500.0,2000.0
R5_aSMA.CD68.Ki67.E-Cad_BM-Her2N75-15-Scene-049.czi,30.0,60.0,50.0,300.0,1500.0
R1_CD20.CD8.CD4.CK19_BM-Her2N75-15-Scene-049.czi,30.0,160.0,120.0,1000.0,1000.0
