,0,1,2
R6_488.555_B1640-T8-3_2019_06_14__16_50__1997S.czi,10.0,50.0,200.0
R5_488.555_B1640-T8-3_2019_06_12__18_06__1990S.czi,10.0,50.0,200.0
R2_488.555_B1640-T8-3_2019_06_05__0358S.czi,5.0,50.0,200.0
R1_CK7-Vimentin.CK14-CD68_B1640-T8-3_2019_06_04__15_03__1951S.czi,10.0,10.0,60.0
R7_488.555_B1640-T8-3_2019_06_17__16_20__2005S.czi,10.0,50.0,200.0
R4_488.555_B1640-T8-3_2019_06_11__16_11__1984S.czi,10.0,50.0,200.0
R3_488.555_B1640-T8-3_2019_06_07__15_08__1971S.czi,10.0,50.0,200.0
