,rounds,color,imagetype,scene,marker
Registered-R4_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R4,c1,ORG,B1640-T8-4-Scene-001,DAPI
Registered-R4_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R4,c2,ORG,B1640-T8-4-Scene-001,488
Registered-R4_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R4,c3,ORG,B1640-T8-4-Scene-001,555
Registered-R4_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R4,c1,ORG,B1640-T8-5-Scene-001,DAPI
Registered-R4_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R4,c2,ORG,B1640-T8-5-Scene-001,488
Registered-R4_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R4,c3,ORG,B1640-T8-5-Scene-001,555
Registered-R4_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R4,c1,ORG,B1640-T8-6-Scene-001,DAPI
Registered-R4_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R4,c2,ORG,B1640-T8-6-Scene-001,488
Registered-R4_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R4,c3,ORG,B1640-T8-6-Scene-001,555
Registered-R5_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R5,c1,ORG,B1640-T8-3-Scene-001,DAPI
Registered-R5_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R5,c2,ORG,B1640-T8-3-Scene-001,488
Registered-R5_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R5,c3,ORG,B1640-T8-3-Scene-001,555
Registered-R5_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R5,c1,ORG,B1640-T8-4-Scene-001,DAPI
Registered-R5_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R5,c2,ORG,B1640-T8-4-Scene-001,488
Registered-R5_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R5,c3,ORG,B1640-T8-4-Scene-001,555
Registered-R5_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R5,c1,ORG,B1640-T8-5-Scene-001,DAPI
Registered-R5_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R5,c2,ORG,B1640-T8-5-Scene-001,488
Registered-R5_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R5,c3,ORG,B1640-T8-5-Scene-001,555
Registered-R5_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R5,c1,ORG,B1640-T8-6-Scene-001,DAPI
Registered-R5_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R5,c2,ORG,B1640-T8-6-Scene-001,488
Registered-R5_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R5,c3,ORG,B1640-T8-6-Scene-001,555
Registered-R6_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R6,c1,ORG,B1640-T8-3-Scene-001,DAPI
Registered-R6_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R6,c2,ORG,B1640-T8-3-Scene-001,488
Registered-R6_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R6,c3,ORG,B1640-T8-3-Scene-001,555
Registered-R6_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R6,c1,ORG,B1640-T8-4-Scene-001,DAPI
Registered-R6_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R6,c2,ORG,B1640-T8-4-Scene-001,488
Registered-R6_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R6,c3,ORG,B1640-T8-4-Scene-001,555
