,rounds,color,imagetype,scene,marker,tissue,exposure,round_int,result
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c5_ORG.tif,R6,c5,ORG,4165NPanc-73-Scene-001,Ecad,4165NPanc-73,160.0,6.0,497.09670172828885
Registered-R1_blank.blank.blank.blank_4165NPanc-74-Scene-001_c1_ORG.tif,R1,c1,ORG,4165NPanc-74-Scene-001,DAPI,4165NPanc-74,10.0,1.0,1563.5389307801177
Registered-R1_blank.blank.blank.blank_4165NPanc-74-Scene-001_c2_ORG.tif,R1,c2,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,12.0,1.0,591.9757711037122
Registered-R1_blank.blank.blank.blank_4165NPanc-74-Scene-001_c3_ORG.tif,R1,c3,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,35.0,1.0,324.3450714384712
Registered-R1_blank.blank.blank.blank_4165NPanc-74-Scene-001_c4_ORG.tif,R1,c4,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,120.0,1.0,420.9349979839952
Registered-R1_blank.blank.blank.blank_4165NPanc-74-Scene-001_c5_ORG.tif,R1,c5,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,160.0,1.0,487.38324604956756
Registered-R2_blank.blank.blank.blank_4165NPanc-74-Scene-001_c1_ORG.tif,R2,c1,ORG,4165NPanc-74-Scene-001,DAPI,4165NPanc-74,10.0,2.0,2010.156362472842
Registered-R2_blank.blank.blank.blank_4165NPanc-74-Scene-001_c2_ORG.tif,R2,c2,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,12.0,2.0,438.06280935011193
Registered-R2_blank.blank.blank.blank_4165NPanc-74-Scene-001_c3_ORG.tif,R2,c3,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,35.0,2.0,242.2714955536097
Registered-R2_blank.blank.blank.blank_4165NPanc-74-Scene-001_c4_ORG.tif,R2,c4,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,120.0,2.0,397.31284046393415
Registered-R2_blank.blank.blank.blank_4165NPanc-74-Scene-001_c5_ORG.tif,R2,c5,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,160.0,2.0,489.43573584051853
Registered-R3_blank.blank.blank.blank_4165NPanc-74-Scene-001_c1_ORG.tif,R3,c1,ORG,4165NPanc-74-Scene-001,DAPI,4165NPanc-74,8.0,3.0,2431.675628238124
Registered-R3_blank.blank.blank.blank_4165NPanc-74-Scene-001_c2_ORG.tif,R3,c2,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,12.0,3.0,424.24850462265795
Registered-R3_blank.blank.blank.blank_4165NPanc-74-Scene-001_c3_ORG.tif,R3,c3,ORG,4165NPanc-74-Scene-001,blank,4165NPanc-74,35.0,3.0,227.6594746475943
