,rounds,color,imagetype,scene,marker,tissue,exposure,round_int,result
Registered-R1_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c5_ORG.tif,R1,c5,ORG,4165NPanc-77-Scene-001,Ecad,4165NPanc-77,160.0,1.0,1284.7054224810379
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c1_ORG.tif,R2,c1,ORG,4165NPanc-77-Scene-001,DAPI,4165NPanc-77,10.0,2.0,2383.3915378134434
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c2_ORG.tif,R2,c2,ORG,4165NPanc-77-Scene-001,CK7,4165NPanc-77,12.0,2.0,495.9453676560146
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c3_ORG.tif,R2,c3,ORG,4165NPanc-77-Scene-001,CoxIV,4165NPanc-77,35.0,2.0,241.94416885516753
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c4_ORG.tif,R2,c4,ORG,4165NPanc-77-Scene-001,LaminB1,4165NPanc-77,120.0,2.0,393.79585070459484
Registered-R2_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c5_ORG.tif,R2,c5,ORG,4165NPanc-77-Scene-001,Ecad,4165NPanc-77,160.0,2.0,497.7533284271612
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c1_ORG.tif,R3,c1,ORG,4165NPanc-77-Scene-001,DAPI,4165NPanc-77,8.0,3.0,3017.5537928504864
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c2_ORG.tif,R3,c2,ORG,4165NPanc-77-Scene-001,CK7,4165NPanc-77,12.0,3.0,447.54670520990635
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c3_ORG.tif,R3,c3,ORG,4165NPanc-77-Scene-001,CoxIV,4165NPanc-77,35.0,3.0,231.62136301252616
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c4_ORG.tif,R3,c4,ORG,4165NPanc-77-Scene-001,LaminB1,4165NPanc-77,120.0,3.0,394.0853314297268
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c5_ORG.tif,R3,c5,ORG,4165NPanc-77-Scene-001,Ecad,4165NPanc-77,160.0,3.0,495.57110613928563
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-77-Scene-001,DAPI,4165NPanc-77,10.0,4.0,4626.25860067384
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-77-Scene-001,CK7,4165NPanc-77,12.0,4.0,407.51011457604267
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-77-Scene-001,CoxIV,4165NPanc-77,35.0,4.0,212.6623583226001
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-77-Scene-001,LaminB1,4165NPanc-77,120.0,4.0,390.08023608037104
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-77-Scene-001,Ecad,4165NPanc-77,160.0,4.0,493.2248641181302
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-77-Scene-001,DAPI,4165NPanc-77,7.0,5.0,3065.140856278291
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-77-Scene-001,CK7,4165NPanc-77,12.0,5.0,404.6751595362655
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-77-Scene-001,CoxIV,4165NPanc-77,35.0,5.0,211.37279917831077
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-77-Scene-001,LaminB1,4165NPanc-77,120.0,5.0,389.84320452297413
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-77-Scene-001,Ecad,4165NPanc-77,160.0,5.0,494.5015656014056
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c1_ORG.tif,R6,c1,ORG,4165NPanc-77-Scene-001,DAPI,4165NPanc-77,7.0,6.0,3293.1591476454882
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c2_ORG.tif,R6,c2,ORG,4165NPanc-77-Scene-001,CK7,4165NPanc-77,12.0,6.0,427.9051639291602
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c3_ORG.tif,R6,c3,ORG,4165NPanc-77-Scene-001,CoxIV,4165NPanc-77,35.0,6.0,215.47994595093024
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c4_ORG.tif,R6,c4,ORG,4165NPanc-77-Scene-001,LaminB1,4165NPanc-77,120.0,6.0,384.82643668122495
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c5_ORG.tif,R6,c5,ORG,4165NPanc-77-Scene-001,Ecad,4165NPanc-77,160.0,6.0,498.84722797081
Registered-R1_blank.blank.blank.blank_4165NPanc-78-Scene-001_c1_ORG.tif,R1,c1,ORG,4165NPanc-78-Scene-001,DAPI,4165NPanc-78,10.0,1.0,1606.5901640985142
Registered-R1_blank.blank.blank.blank_4165NPanc-78-Scene-001_c2_ORG.tif,R1,c2,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,12.0,1.0,577.1049235733449
Registered-R1_blank.blank.blank.blank_4165NPanc-78-Scene-001_c3_ORG.tif,R1,c3,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,35.0,1.0,317.2484027135494
Registered-R1_blank.blank.blank.blank_4165NPanc-78-Scene-001_c4_ORG.tif,R1,c4,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,120.0,1.0,416.75739834442084
Registered-R1_blank.blank.blank.blank_4165NPanc-78-Scene-001_c5_ORG.tif,R1,c5,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,160.0,1.0,494.7769753442365
Registered-R2_blank.blank.blank.blank_4165NPanc-78-Scene-001_c1_ORG.tif,R2,c1,ORG,4165NPanc-78-Scene-001,DAPI,4165NPanc-78,10.0,2.0,2407.224494331482
Registered-R2_blank.blank.blank.blank_4165NPanc-78-Scene-001_c2_ORG.tif,R2,c2,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,12.0,2.0,449.0249619806111
Registered-R2_blank.blank.blank.blank_4165NPanc-78-Scene-001_c3_ORG.tif,R2,c3,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,35.0,2.0,235.52269286323212
Registered-R2_blank.blank.blank.blank_4165NPanc-78-Scene-001_c4_ORG.tif,R2,c4,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,120.0,2.0,390.6619619717242
Registered-R2_blank.blank.blank.blank_4165NPanc-78-Scene-001_c5_ORG.tif,R2,c5,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,160.0,2.0,497.26092381653194
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c1_ORG.tif,R3,c1,ORG,4165NPanc-78-Scene-001,DAPI,4165NPanc-78,8.0,3.0,2994.6621100640477
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c2_ORG.tif,R3,c2,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,12.0,3.0,465.6586668307354
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c3_ORG.tif,R3,c3,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,35.0,3.0,249.45699120277442
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c4_ORG.tif,R3,c4,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,120.0,3.0,403.2077570870242
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c5_ORG.tif,R3,c5,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,160.0,3.0,495.2835456653407
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-78-Scene-001,DAPI,4165NPanc-78,10.0,4.0,4309.790381298275
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,12.0,4.0,405.4500665732737
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,35.0,4.0,214.41426119820042
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,120.0,4.0,390.65194586000143
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,160.0,4.0,492.77075397391485
Registered-R5_blank.blank.blank.blank_4165NPanc-78-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-78-Scene-001,DAPI,4165NPanc-78,7.0,5.0,2650.7120353675664
Registered-R5_blank.blank.blank.blank_4165NPanc-78-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,12.0,5.0,400.5919439951351
Registered-R5_blank.blank.blank.blank_4165NPanc-78-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,35.0,5.0,212.0744597164348
Registered-R5_blank.blank.blank.blank_4165NPanc-78-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,120.0,5.0,389.608145582322
Registered-R5_blank.blank.blank.blank_4165NPanc-78-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,160.0,5.0,493.2006876515117
Registered-R6_blank.blank.blank.blank_4165NPanc-78-Scene-001_c1_ORG.tif,R6,c1,ORG,4165NPanc-78-Scene-001,DAPI,4165NPanc-78,7.0,6.0,4058.5253125051204
Registered-R6_blank.blank.blank.blank_4165NPanc-78-Scene-001_c2_ORG.tif,R6,c2,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,12.0,6.0,485.1953449299104
Registered-R6_blank.blank.blank.blank_4165NPanc-78-Scene-001_c3_ORG.tif,R6,c3,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,35.0,6.0,238.61073229166195
Registered-R6_blank.blank.blank.blank_4165NPanc-78-Scene-001_c4_ORG.tif,R6,c4,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,120.0,6.0,389.27180102297797
Registered-R6_blank.blank.blank.blank_4165NPanc-78-Scene-001_c5_ORG.tif,R6,c5,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,160.0,6.0,511.15775649919095
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-65-Scene-1_c1_ORG.tif,R0,c1,ORG,NPPan4165-65-Scene-1,DAPI,NPPan4165-65,15.0,0.0,1297.1652514853479
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-65-Scene-1_c2_ORG.tif,R0,c2,ORG,NPPan4165-65-Scene-1,R0c2,NPPan4165-65,50.0,0.0,2029.3484669390364
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-65-Scene-1_c3_ORG.tif,R0,c3,ORG,NPPan4165-65-Scene-1,R0c3,NPPan4165-65,200.0,0.0,1211.897524483219
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-65-Scene-1_c4_ORG.tif,R0,c4,ORG,NPPan4165-65-Scene-1,R0c4,NPPan4165-65,500.0,0.0,1289.4169621952542
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-65-Scene-1_c5_ORG.tif,R0,c5,ORG,NPPan4165-65-Scene-1,R0c5,NPPan4165-65,500.0,0.0,1435.5854336527616
Registered-R1_R1c2.R1c3.R1c4.R1c5_NPPan4165-65-Scene-1_c1_ORG.tif,R1,c1,ORG,NPPan4165-65-Scene-1,DAPI,NPPan4165-65,15.0,1.0,1738.2633767230882
Registered-R1_R1c2.R1c3.R1c4.R1c5_NPPan4165-65-Scene-1_c2_ORG.tif,R1,c2,ORG,NPPan4165-65-Scene-1,R1c2,NPPan4165-65,50.0,1.0,933.8186665875361
Registered-R1_R1c2.R1c3.R1c4.R1c5_NPPan4165-65-Scene-1_c3_ORG.tif,R1,c3,ORG,NPPan4165-65-Scene-1,R1c3,NPPan4165-65,200.0,1.0,533.9658133914988
Registered-R1_R1c2.R1c3.R1c4.R1c5_NPPan4165-65-Scene-1_c4_ORG.tif,R1,c4,ORG,NPPan4165-65-Scene-1,R1c4,NPPan4165-65,500.0,1.0,1180.792986388846
Registered-R1_R1c2.R1c3.R1c4.R1c5_NPPan4165-65-Scene-1_c5_ORG.tif,R1,c5,ORG,NPPan4165-65-Scene-1,R1c5,NPPan4165-65,500.0,1.0,1366.238094825687
Registered-R2_R2c2.R2c3.R2c4.R2c5_NPPan4165-65-Scene-1_c1_ORG.tif,R2,c1,ORG,NPPan4165-65-Scene-1,DAPI,NPPan4165-65,15.0,2.0,2421.1873063579224
Registered-R2_R2c2.R2c3.R2c4.R2c5_NPPan4165-65-Scene-1_c2_ORG.tif,R2,c2,ORG,NPPan4165-65-Scene-1,R2c2,NPPan4165-65,50.0,2.0,810.1722062998881
Registered-R2_R2c2.R2c3.R2c4.R2c5_NPPan4165-65-Scene-1_c3_ORG.tif,R2,c3,ORG,NPPan4165-65-Scene-1,R2c3,NPPan4165-65,200.0,2.0,521.9354314544393
Registered-R2_R2c2.R2c3.R2c4.R2c5_NPPan4165-65-Scene-1_c4_ORG.tif,R2,c4,ORG,NPPan4165-65-Scene-1,R2c4,NPPan4165-65,500.0,2.0,1225.395375827357
Registered-R2_R2c2.R2c3.R2c4.R2c5_NPPan4165-65-Scene-1_c5_ORG.tif,R2,c5,ORG,NPPan4165-65-Scene-1,R2c5,NPPan4165-65,500.0,2.0,1358.432264330492
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-65-Scene-1_c1_ORG.tif,R3,c1,ORG,NPPan4165-65-Scene-1,DAPI,NPPan4165-65,15.0,3.0,2943.119550440709
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-65-Scene-1_c2_ORG.tif,R3,c2,ORG,NPPan4165-65-Scene-1,R3c2,NPPan4165-65,50.0,3.0,790.5284534622317
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-65-Scene-1_c3_ORG.tif,R3,c3,ORG,NPPan4165-65-Scene-1,R3c3,NPPan4165-65,200.0,3.0,495.8087124582872
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-65-Scene-1_c4_ORG.tif,R3,c4,ORG,NPPan4165-65-Scene-1,R3c4,NPPan4165-65,500.0,3.0,1182.0263694373853
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-65-Scene-1_c5_ORG.tif,R3,c5,ORG,NPPan4165-65-Scene-1,R3c5,NPPan4165-65,500.0,3.0,1421.0588466461259
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-66-Scene-1_c1_ORG.tif,R0,c1,ORG,NPPan4165-66-Scene-1,DAPI,NPPan4165-66,15.0,0.0,1379.1964927284378
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-66-Scene-1_c2_ORG.tif,R0,c2,ORG,NPPan4165-66-Scene-1,R0c2,NPPan4165-66,50.0,0.0,2624.5123976620903
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-66-Scene-1_c3_ORG.tif,R0,c3,ORG,NPPan4165-66-Scene-1,R0c3,NPPan4165-66,200.0,0.0,1572.1075684394543
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-66-Scene-1_c4_ORG.tif,R0,c4,ORG,NPPan4165-66-Scene-1,R0c4,NPPan4165-66,500.0,0.0,1356.8323656200218
Registered-R0_R0c2.R0c3.R0c4.R0c5_NPPan4165-66-Scene-1_c5_ORG.tif,R0,c5,ORG,NPPan4165-66-Scene-1,R0c5,NPPan4165-66,500.0,0.0,1437.2827643149183
Registered-R1_R1c2.R1c3.R1c4.R1c5_NPPan4165-66-Scene-1_c1_ORG.tif,R1,c1,ORG,NPPan4165-66-Scene-1,DAPI,NPPan4165-66,15.0,1.0,2160.042456749716
Registered-R1_R1c2.R1c3.R1c4.R1c5_NPPan4165-66-Scene-1_c2_ORG.tif,R1,c2,ORG,NPPan4165-66-Scene-1,R1c2,NPPan4165-66,50.0,1.0,2490.676754906882
Registered-R1_R1c2.R1c3.R1c4.R1c5_NPPan4165-66-Scene-1_c3_ORG.tif,R1,c3,ORG,NPPan4165-66-Scene-1,R1c3,NPPan4165-66,200.0,1.0,1615.4827567383793
Registered-R1_R1c2.R1c3.R1c4.R1c5_NPPan4165-66-Scene-1_c4_ORG.tif,R1,c4,ORG,NPPan4165-66-Scene-1,R1c4,NPPan4165-66,500.0,1.0,1404.7163122834768
Registered-R1_R1c2.R1c3.R1c4.R1c5_NPPan4165-66-Scene-1_c5_ORG.tif,R1,c5,ORG,NPPan4165-66-Scene-1,R1c5,NPPan4165-66,500.0,1.0,1398.1237173704003
Registered-R2_R2c2.R2c3.R2c4.R2c5_NPPan4165-66-Scene-1_c1_ORG.tif,R2,c1,ORG,NPPan4165-66-Scene-1,DAPI,NPPan4165-66,15.0,2.0,2984.1397703429793
Registered-R2_R2c2.R2c3.R2c4.R2c5_NPPan4165-66-Scene-1_c2_ORG.tif,R2,c2,ORG,NPPan4165-66-Scene-1,R2c2,NPPan4165-66,50.0,2.0,2461.859895523232
Registered-R2_R2c2.R2c3.R2c4.R2c5_NPPan4165-66-Scene-1_c3_ORG.tif,R2,c3,ORG,NPPan4165-66-Scene-1,R2c3,NPPan4165-66,200.0,2.0,1650.3666888352348
Registered-R2_R2c2.R2c3.R2c4.R2c5_NPPan4165-66-Scene-1_c4_ORG.tif,R2,c4,ORG,NPPan4165-66-Scene-1,R2c4,NPPan4165-66,500.0,2.0,1460.6819115307246
Registered-R2_R2c2.R2c3.R2c4.R2c5_NPPan4165-66-Scene-1_c5_ORG.tif,R2,c5,ORG,NPPan4165-66-Scene-1,R2c5,NPPan4165-66,500.0,2.0,1392.347688260025
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-66-Scene-1_c1_ORG.tif,R3,c1,ORG,NPPan4165-66-Scene-1,DAPI,NPPan4165-66,15.0,3.0,3381.5194471332657
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-66-Scene-1_c2_ORG.tif,R3,c2,ORG,NPPan4165-66-Scene-1,R3c2,NPPan4165-66,50.0,3.0,2718.0404760657107
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-66-Scene-1_c3_ORG.tif,R3,c3,ORG,NPPan4165-66-Scene-1,R3c3,NPPan4165-66,200.0,3.0,1730.0115438829494
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-66-Scene-1_c4_ORG.tif,R3,c4,ORG,NPPan4165-66-Scene-1,R3c4,NPPan4165-66,500.0,3.0,1501.399923973954
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-66-Scene-1_c5_ORG.tif,R3,c5,ORG,NPPan4165-66-Scene-1,R3c5,NPPan4165-66,500.0,3.0,1456.020238704365
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-3-Scene-001_c1_ORG.tif,R1,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,10.0,1.0,1059.53047348239
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-3-Scene-001_c2_ORG.tif,R1,c2,ORG,B1640-T8-3-Scene-001,CK7-Vimentin,B1640-T8-3,10.0,1.0,327.585498343557
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-3-Scene-001_c3_ORG.tif,R1,c3,ORG,B1640-T8-3-Scene-001,CK14-CD68,B1640-T8-3,60.0,1.0,220.02622469804862
Registered-R2_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R2,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,5.0,2.0,1590.0926619315112
Registered-R2_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R2,c2,ORG,B1640-T8-3-Scene-001,488,B1640-T8-3,50.0,2.0,1085.08428846961
Registered-R2_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R2,c3,ORG,B1640-T8-3-Scene-001,555,B1640-T8-3,200.0,2.0,458.62572115886604
Registered-R3_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R3,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,10.0,3.0,1734.2946855010891
Registered-R3_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R3,c2,ORG,B1640-T8-3-Scene-001,488,B1640-T8-3,50.0,3.0,957.8735537770128
Registered-R3_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R3,c3,ORG,B1640-T8-3-Scene-001,555,B1640-T8-3,200.0,3.0,429.7688235943653
Registered-R4_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R4,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,10.0,4.0,2172.896420780247
Registered-R4_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R4,c2,ORG,B1640-T8-3-Scene-001,488,B1640-T8-3,50.0,4.0,851.0290790973606
Registered-R4_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R4,c3,ORG,B1640-T8-3-Scene-001,555,B1640-T8-3,200.0,4.0,432.14806554504173
Registered-R5_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R5,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,10.0,5.0,2266.922709288449
Registered-R5_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R5,c2,ORG,B1640-T8-3-Scene-001,488,B1640-T8-3,50.0,5.0,899.7552314876247
Registered-R5_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R5,c3,ORG,B1640-T8-3-Scene-001,555,B1640-T8-3,200.0,5.0,469.7120984646206
Registered-R6_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R6,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,10.0,6.0,2500.830236050249
Registered-R6_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R6,c2,ORG,B1640-T8-3-Scene-001,488,B1640-T8-3,50.0,6.0,1006.2609618009243
Registered-R6_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R6,c3,ORG,B1640-T8-3-Scene-001,555,B1640-T8-3,200.0,6.0,471.2226730623028
Registered-R7_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R7,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,10.0,7.0,3287.154343761448
Registered-R7_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R7,c2,ORG,B1640-T8-3-Scene-001,488,B1640-T8-3,50.0,7.0,958.3158123855678
Registered-R7_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R7,c3,ORG,B1640-T8-3-Scene-001,555,B1640-T8-3,200.0,7.0,451.164214682178
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-4-Scene-001_c1_ORG.tif,R1,c1,ORG,B1640-T8-4-Scene-001,DAPI,B1640-T8-4,10.0,1.0,989.4912858287756
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-4-Scene-001_c2_ORG.tif,R1,c2,ORG,B1640-T8-4-Scene-001,CK7-Vimentin,B1640-T8-4,10.0,1.0,1987.81371332337
Registered-R1_CK7-Vimentin.CK14-CD68_B1640-T8-4-Scene-001_c3_ORG.tif,R1,c3,ORG,B1640-T8-4-Scene-001,CK14-CD68,B1640-T8-4,60.0,1.0,1202.0948801817242
Registered-R2_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R2,c1,ORG,B1640-T8-4-Scene-001,DAPI,B1640-T8-4,5.0,2.0,1809.8160883371647
Registered-R2_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R2,c2,ORG,B1640-T8-4-Scene-001,488,B1640-T8-4,50.0,2.0,1958.6364607627406
Registered-R2_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R2,c3,ORG,B1640-T8-4-Scene-001,555,B1640-T8-4,200.0,2.0,506.1735575907739
Registered-R3_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R3,c1,ORG,B1640-T8-4-Scene-001,DAPI,B1640-T8-4,10.0,3.0,1858.3620596280507
Registered-R3_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R3,c2,ORG,B1640-T8-4-Scene-001,488,B1640-T8-4,50.0,3.0,1141.9425046859951
Registered-R3_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R3,c3,ORG,B1640-T8-4-Scene-001,555,B1640-T8-4,200.0,3.0,469.2892087146924
Registered-R4_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R4,c1,ORG,B1640-T8-4-Scene-001,DAPI,B1640-T8-4,10.0,4.0,2170.245821584786
Registered-R4_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R4,c2,ORG,B1640-T8-4-Scene-001,488,B1640-T8-4,50.0,4.0,976.1856167312149
Registered-R4_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R4,c3,ORG,B1640-T8-4-Scene-001,555,B1640-T8-4,200.0,4.0,459.2610107252655
Registered-R5_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R5,c1,ORG,B1640-T8-4-Scene-001,DAPI,B1640-T8-4,10.0,5.0,2316.5026348515753
Registered-R5_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R5,c2,ORG,B1640-T8-4-Scene-001,488,B1640-T8-4,50.0,5.0,1003.552459592553
Registered-R5_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R5,c3,ORG,B1640-T8-4-Scene-001,555,B1640-T8-4,200.0,5.0,499.71581182039046
Registered-R6_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R6,c1,ORG,B1640-T8-4-Scene-001,DAPI,B1640-T8-4,10.0,6.0,2488.919076332593
Registered-R6_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R6,c2,ORG,B1640-T8-4-Scene-001,488,B1640-T8-4,50.0,6.0,1066.8629042190742
Registered-R6_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R6,c3,ORG,B1640-T8-4-Scene-001,555,B1640-T8-4,200.0,6.0,478.282585466695
Registered-R7_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R7,c1,ORG,B1640-T8-4-Scene-001,DAPI,B1640-T8-4,10.0,7.0,2974.364487919468
Registered-R7_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R7,c2,ORG,B1640-T8-4-Scene-001,488,B1640-T8-4,50.0,7.0,1018.2619798719459
Registered-R7_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R7,c3,ORG,B1640-T8-4-Scene-001,555,B1640-T8-4,200.0,7.0,457.6171680109102
