,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R3_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R3,c2,ORG,B1640-T8-5-Scene-001,488,B1640-T8-5,50.0,3.0
Registered-R3_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R3,c3,ORG,B1640-T8-5-Scene-001,555,B1640-T8-5,200.0,3.0
Registered-R3_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R3,c1,ORG,B1640-T8-6-Scene-001,DAPI,B1640-T8-6,10.0,3.0
Registered-R3_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R3,c2,ORG,B1640-T8-6-Scene-001,488,B1640-T8-6,50.0,3.0
Registered-R3_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R3,c3,ORG,B1640-T8-6-Scene-001,555,B1640-T8-6,200.0,3.0
Registered-R4_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R4,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,10.0,4.0
Registered-R4_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R4,c2,ORG,B1640-T8-3-Scene-001,488,B1640-T8-3,50.0,4.0
Registered-R4_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R4,c3,ORG,B1640-T8-3-Scene-001,555,B1640-T8-3,200.0,4.0
Registered-R4_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R4,c1,ORG,B1640-T8-4-Scene-001,DAPI,B1640-T8-4,10.0,4.0
Registered-R4_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R4,c2,ORG,B1640-T8-4-Scene-001,488,B1640-T8-4,50.0,4.0
Registered-R4_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R4,c3,ORG,B1640-T8-4-Scene-001,555,B1640-T8-4,200.0,4.0
Registered-R4_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R4,c1,ORG,B1640-T8-5-Scene-001,DAPI,B1640-T8-5,10.0,4.0
Registered-R4_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R4,c2,ORG,B1640-T8-5-Scene-001,488,B1640-T8-5,50.0,4.0
Registered-R4_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R4,c3,ORG,B1640-T8-5-Scene-001,555,B1640-T8-5,200.0,4.0
Registered-R4_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R4,c1,ORG,B1640-T8-6-Scene-001,DAPI,B1640-T8-6,10.0,4.0
Registered-R4_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R4,c2,ORG,B1640-T8-6-Scene-001,488,B1640-T8-6,50.0,4.0
Registered-R4_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R4,c3,ORG,B1640-T8-6-Scene-001,555,B1640-T8-6,200.0,4.0
Registered-R5_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R5,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,10.0,5.0
Registered-R5_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R5,c2,ORG,B1640-T8-3-Scene-001,488,B1640-T8-3,50.0,5.0
Registered-R5_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R5,c3,ORG,B1640-T8-3-Scene-001,555,B1640-T8-3,200.0,5.0
Registered-R5_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R5,c1,ORG,B1640-T8-4-Scene-001,DAPI,B1640-T8-4,10.0,5.0
Registered-R5_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R5,c2,ORG,B1640-T8-4-Scene-001,488,B1640-T8-4,50.0,5.0
Registered-R5_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R5,c3,ORG,B1640-T8-4-Scene-001,555,B1640-T8-4,200.0,5.0
Registered-R5_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R5,c1,ORG,B1640-T8-5-Scene-001,DAPI,B1640-T8-5,10.0,5.0
Registered-R5_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R5,c2,ORG,B1640-T8-5-Scene-001,488,B1640-T8-5,50.0,5.0
Registered-R5_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R5,c3,ORG,B1640-T8-5-Scene-001,555,B1640-T8-5,200.0,5.0
Registered-R5_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R5,c1,ORG,B1640-T8-6-Scene-001,DAPI,B1640-T8-6,10.0,5.0
Registered-R5_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R5,c2,ORG,B1640-T8-6-Scene-001,488,B1640-T8-6,50.0,5.0
Registered-R5_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R5,c3,ORG,B1640-T8-6-Scene-001,555,B1640-T8-6,200.0,5.0
Registered-R6_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R6,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,10.0,6.0
Registered-R6_488.555_B1640-T8-3-Scene-001_c2_ORG.tif,R6,c2,ORG,B1640-T8-3-Scene-001,488,B1640-T8-3,50.0,6.0
Registered-R6_488.555_B1640-T8-3-Scene-001_c3_ORG.tif,R6,c3,ORG,B1640-T8-3-Scene-001,555,B1640-T8-3,200.0,6.0
Registered-R6_488.555_B1640-T8-4-Scene-001_c1_ORG.tif,R6,c1,ORG,B1640-T8-4-Scene-001,DAPI,B1640-T8-4,10.0,6.0
Registered-R6_488.555_B1640-T8-4-Scene-001_c2_ORG.tif,R6,c2,ORG,B1640-T8-4-Scene-001,488,B1640-T8-4,50.0,6.0
Registered-R6_488.555_B1640-T8-4-Scene-001_c3_ORG.tif,R6,c3,ORG,B1640-T8-4-Scene-001,555,B1640-T8-4,200.0,6.0
Registered-R6_488.555_B1640-T8-5-Scene-001_c1_ORG.tif,R6,c1,ORG,B1640-T8-5-Scene-001,DAPI,B1640-T8-5,10.0,6.0
Registered-R6_488.555_B1640-T8-5-Scene-001_c2_ORG.tif,R6,c2,ORG,B1640-T8-5-Scene-001,488,B1640-T8-5,50.0,6.0
Registered-R6_488.555_B1640-T8-5-Scene-001_c3_ORG.tif,R6,c3,ORG,B1640-T8-5-Scene-001,555,B1640-T8-5,200.0,6.0
Registered-R6_488.555_B1640-T8-6-Scene-001_c1_ORG.tif,R6,c1,ORG,B1640-T8-6-Scene-001,DAPI,B1640-T8-6,10.0,6.0
Registered-R6_488.555_B1640-T8-6-Scene-001_c2_ORG.tif,R6,c2,ORG,B1640-T8-6-Scene-001,488,B1640-T8-6,50.0,6.0
Registered-R6_488.555_B1640-T8-6-Scene-001_c3_ORG.tif,R6,c3,ORG,B1640-T8-6-Scene-001,555,B1640-T8-6,200.0,6.0
Registered-R7_488.555_B1640-T8-3-Scene-001_c1_ORG.tif,R7,c1,ORG,B1640-T8-3-Scene-001,DAPI,B1640-T8-3,10.0,7.0
