,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R7_CK5P.CD8R.CD4R.CD20P_BC44290-146-Scene-01_c1_ORG.tif,R7,c1,ORG,BC44290-146-Scene-01,DAPI,BC44290-146,15.0,7.0
Registered-R7_CK5P.CD8R.CD4R.CD20P_BC44290-146-Scene-01_c2_ORG.tif,R7,c2,ORG,BC44290-146-Scene-01,CK5P,BC44290-146,30.0,7.0
Registered-R7_CK5P.CD8R.CD4R.CD20P_BC44290-146-Scene-01_c3_ORG.tif,R7,c3,ORG,BC44290-146-Scene-01,CD8R,BC44290-146,500.0,7.0
Registered-R7_CK5P.CD8R.CD4R.CD20P_BC44290-146-Scene-01_c4_ORG.tif,R7,c4,ORG,BC44290-146-Scene-01,CD4R,BC44290-146,250.0,7.0
Registered-R7_CK5P.CD8R.CD4R.CD20P_BC44290-146-Scene-01_c5_ORG.tif,R7,c5,ORG,BC44290-146-Scene-01,CD20P,BC44290-146,500.0,7.0
Registered-R8_LamB1.AR.ColIV.ColI_BC44290-146-Scene-01_c1_ORG.tif,R8,c1,ORG,BC44290-146-Scene-01,DAPI,BC44290-146,15.0,8.0
Registered-R8_LamB1.AR.ColIV.ColI_BC44290-146-Scene-01_c2_ORG.tif,R8,c2,ORG,BC44290-146-Scene-01,LamB1,BC44290-146,30.0,8.0
Registered-R8_LamB1.AR.ColIV.ColI_BC44290-146-Scene-01_c3_ORG.tif,R8,c3,ORG,BC44290-146-Scene-01,AR,BC44290-146,250.0,8.0
Registered-R8_LamB1.AR.ColIV.ColI_BC44290-146-Scene-01_c4_ORG.tif,R8,c4,ORG,BC44290-146-Scene-01,ColIV,BC44290-146,200.0,8.0
Registered-R8_LamB1.AR.ColIV.ColI_BC44290-146-Scene-01_c5_ORG.tif,R8,c5,ORG,BC44290-146-Scene-01,ColI,BC44290-146,20.0,8.0
Registered-R8Q_R8Qc2.R8Qc3.R8Qc4.R8Qc5_BC44290-146-Scene-01_c1_ORG.tif,R8Q,c1,ORG,BC44290-146-Scene-01,DAPI,BC44290-146,15.0,8.5
Registered-R8Q_R8Qc2.R8Qc3.R8Qc4.R8Qc5_BC44290-146-Scene-01_c2_ORG.tif,R8Q,c2,ORG,BC44290-146-Scene-01,R8Qc2,BC44290-146,50.0,8.5
Registered-R8Q_R8Qc2.R8Qc3.R8Qc4.R8Qc5_BC44290-146-Scene-01_c3_ORG.tif,R8Q,c3,ORG,BC44290-146-Scene-01,R8Qc3,BC44290-146,200.0,8.5
Registered-R8Q_R8Qc2.R8Qc3.R8Qc4.R8Qc5_BC44290-146-Scene-01_c4_ORG.tif,R8Q,c4,ORG,BC44290-146-Scene-01,R8Qc4,BC44290-146,500.0,8.5
Registered-R8Q_R8Qc2.R8Qc3.R8Qc4.R8Qc5_BC44290-146-Scene-01_c5_ORG.tif,R8Q,c5,ORG,BC44290-146-Scene-01,R8Qc5,BC44290-146,500.0,8.5
