,0,1,2,3,4
R5_LaminB1.Ecad.CD44.LaminAC+CD45_44290-114_2017_12_01__5464.czi,4.0,90.0,30.0,60.0,1500.0
R1_pH3.CK14.CD44.CK5_44290-114_2017_10_26__4665.czi,30.0,60.0,15.0,80.0,400.0
