,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-(R3)_pH3.CK14.CD44.CK5_44294-118_2017_10_26__4666-1_c5_ORG.tif,R1,c5,ORG,44294-118,CK5,44294-118,400.0,1.0
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c1_ORG.tif,R1,c1,ORG,44294-119,DAPI,44294-119,15.0,1.0
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c2_ORG.tif,R1,c2,ORG,44294-119,Vim,44294-119,60.0,1.0
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c3_ORG.tif,R1,c3,ORG,44294-119,CK7,44294-119,10.0,1.0
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c4_ORG.tif,R1,c4,ORG,44294-119,PD1,44294-119,250.0,1.0
Registered-(R4)_Vim.CK7.PD1.LaminAC_44294-119_2017_10_26__4668_c5_ORG.tif,R1,c5,ORG,44294-119,LaminAC,44294-119,250.0,1.0
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c1_ORG.tif,R1,c1,ORG,44294-120,DAPI,44294-120,10.0,1.0
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c2_ORG.tif,R1,c2,ORG,44294-120,aSMA,44294-120,15.0,1.0
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c3_ORG.tif,R1,c3,ORG,44294-120,CD68,44294-120,40.0,1.0
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c4_ORG.tif,R1,c4,ORG,44294-120,Ki67,44294-120,40.0,1.0
Registered-(R5)_aSMA.CD68.Ki67.Ecad_44294-120_2017_10_26__4670_c5_ORG.tif,R1,c5,ORG,44294-120,Ecad,44294-120,750.0,1.0
Registered-R2_PCNA.Her2.ER.CD45_44290-112_c1_ORG.tif,R2,c1,ORG,44290-112,DAPI,44290-112,20.0,2.0
