,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R3_blank.blank.blank.blank_4165NPanc-76-Scene-001_c2_ORG.tif,R3,c2,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,12.0,3.0
Registered-R3_blank.blank.blank.blank_4165NPanc-76-Scene-001_c3_ORG.tif,R3,c3,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,35.0,3.0
Registered-R3_blank.blank.blank.blank_4165NPanc-76-Scene-001_c4_ORG.tif,R3,c4,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,120.0,3.0
Registered-R3_blank.blank.blank.blank_4165NPanc-76-Scene-001_c5_ORG.tif,R3,c5,ORG,4165NPanc-76-Scene-001,blank,4165NPanc-76,160.0,3.0
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c1_ORG.tif,R3,c1,ORG,4165NPanc-77-Scene-001,DAPI,4165NPanc-77,8.0,3.0
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c2_ORG.tif,R3,c2,ORG,4165NPanc-77-Scene-001,CK7,4165NPanc-77,12.0,3.0
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c3_ORG.tif,R3,c3,ORG,4165NPanc-77-Scene-001,CoxIV,4165NPanc-77,35.0,3.0
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c4_ORG.tif,R3,c4,ORG,4165NPanc-77-Scene-001,LaminB1,4165NPanc-77,120.0,3.0
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c5_ORG.tif,R3,c5,ORG,4165NPanc-77-Scene-001,Ecad,4165NPanc-77,160.0,3.0
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c1_ORG.tif,R3,c1,ORG,4165NPanc-78-Scene-001,DAPI,4165NPanc-78,8.0,3.0
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c2_ORG.tif,R3,c2,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,12.0,3.0
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c3_ORG.tif,R3,c3,ORG,4165NPanc-78-Scene-001,blank,4165NPanc-78,35.0,3.0
