,rounds,color,imagetype,scene,marker
Registered-R3_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c5_ORG.tif,R3,c5,ORG,4165NPanc-77-Scene-001,Ecad
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c1_ORG.tif,R3,c1,ORG,4165NPanc-78-Scene-001,DAPI
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c2_ORG.tif,R3,c2,ORG,4165NPanc-78-Scene-001,blank
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c3_ORG.tif,R3,c3,ORG,4165NPanc-78-Scene-001,blank
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c4_ORG.tif,R3,c4,ORG,4165NPanc-78-Scene-001,blank
Registered-R3_blank.blank.blank.blank_4165NPanc-78-Scene-001_c5_ORG.tif,R3,c5,ORG,4165NPanc-78-Scene-001,blank
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-73-Scene-001,DAPI
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-73-Scene-001,CK7
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-73-Scene-001,CoxIV
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-73-Scene-001,LaminB1
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-73-Scene-001,Ecad
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-74-Scene-001,DAPI
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-74-Scene-001,blank
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-74-Scene-001,blank
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-74-Scene-001,blank
Registered-R4_blank.blank.blank.blank_4165NPanc-74-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-74-Scene-001,blank
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-75-Scene-001,DAPI
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-75-Scene-001,CK7
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-75-Scene-001,CoxIV
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-75-Scene-001,LaminB1
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-75-Scene-001,Ecad
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-76-Scene-001,DAPI
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-76-Scene-001,blank
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-76-Scene-001,blank
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-76-Scene-001,blank
Registered-R4_blank.blank.blank.blank_4165NPanc-76-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-76-Scene-001,blank
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-77-Scene-001,DAPI
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-77-Scene-001,CK7
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-77-Scene-001,CoxIV
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-77-Scene-001,LaminB1
Registered-R4_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-77-Scene-001,Ecad
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c1_ORG.tif,R4,c1,ORG,4165NPanc-78-Scene-001,DAPI
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c2_ORG.tif,R4,c2,ORG,4165NPanc-78-Scene-001,blank
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c3_ORG.tif,R4,c3,ORG,4165NPanc-78-Scene-001,blank
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c4_ORG.tif,R4,c4,ORG,4165NPanc-78-Scene-001,blank
Registered-R4_blank.blank.blank.blank_4165NPanc-78-Scene-001_c5_ORG.tif,R4,c5,ORG,4165NPanc-78-Scene-001,blank
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-73-Scene-001,DAPI
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-73-Scene-001,CK7
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-73-Scene-001,CoxIV
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-73-Scene-001,LaminB1
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-73-Scene-001,Ecad
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-74-Scene-001,DAPI
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-74-Scene-001,blank
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-74-Scene-001,blank
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-74-Scene-001,blank
Registered-R5_blank.blank.blank.blank_4165NPanc-74-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-74-Scene-001,blank
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-75-Scene-001,DAPI
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-75-Scene-001,CK7
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-75-Scene-001,CoxIV
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-75-Scene-001,LaminB1
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-75-Scene-001,Ecad
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-76-Scene-001,DAPI
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-76-Scene-001,blank
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-76-Scene-001,blank
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-76-Scene-001,blank
Registered-R5_blank.blank.blank.blank_4165NPanc-76-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-76-Scene-001,blank
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-77-Scene-001,DAPI
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-77-Scene-001,CK7
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-77-Scene-001,CoxIV
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-77-Scene-001,LaminB1
Registered-R5_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-77-Scene-001,Ecad
Registered-R5_blank.blank.blank.blank_4165NPanc-78-Scene-001_c1_ORG.tif,R5,c1,ORG,4165NPanc-78-Scene-001,DAPI
Registered-R5_blank.blank.blank.blank_4165NPanc-78-Scene-001_c2_ORG.tif,R5,c2,ORG,4165NPanc-78-Scene-001,blank
Registered-R5_blank.blank.blank.blank_4165NPanc-78-Scene-001_c3_ORG.tif,R5,c3,ORG,4165NPanc-78-Scene-001,blank
Registered-R5_blank.blank.blank.blank_4165NPanc-78-Scene-001_c4_ORG.tif,R5,c4,ORG,4165NPanc-78-Scene-001,blank
Registered-R5_blank.blank.blank.blank_4165NPanc-78-Scene-001_c5_ORG.tif,R5,c5,ORG,4165NPanc-78-Scene-001,blank
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c1_ORG.tif,R6,c1,ORG,4165NPanc-73-Scene-001,DAPI
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c2_ORG.tif,R6,c2,ORG,4165NPanc-73-Scene-001,CK7
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c3_ORG.tif,R6,c3,ORG,4165NPanc-73-Scene-001,CoxIV
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c4_ORG.tif,R6,c4,ORG,4165NPanc-73-Scene-001,LaminB1
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-73-Scene-001_c5_ORG.tif,R6,c5,ORG,4165NPanc-73-Scene-001,Ecad
Registered-R6_blank.blank.blank.blank_4165NPanc-74-Scene-001_c1_ORG.tif,R6,c1,ORG,4165NPanc-74-Scene-001,DAPI
Registered-R6_blank.blank.blank.blank_4165NPanc-74-Scene-001_c2_ORG.tif,R6,c2,ORG,4165NPanc-74-Scene-001,blank
Registered-R6_blank.blank.blank.blank_4165NPanc-74-Scene-001_c3_ORG.tif,R6,c3,ORG,4165NPanc-74-Scene-001,blank
Registered-R6_blank.blank.blank.blank_4165NPanc-74-Scene-001_c4_ORG.tif,R6,c4,ORG,4165NPanc-74-Scene-001,blank
Registered-R6_blank.blank.blank.blank_4165NPanc-74-Scene-001_c5_ORG.tif,R6,c5,ORG,4165NPanc-74-Scene-001,blank
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c1_ORG.tif,R6,c1,ORG,4165NPanc-75-Scene-001,DAPI
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c2_ORG.tif,R6,c2,ORG,4165NPanc-75-Scene-001,CK7
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c3_ORG.tif,R6,c3,ORG,4165NPanc-75-Scene-001,CoxIV
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c4_ORG.tif,R6,c4,ORG,4165NPanc-75-Scene-001,LaminB1
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-75-Scene-001_c5_ORG.tif,R6,c5,ORG,4165NPanc-75-Scene-001,Ecad
Registered-R6_blank.blank.blank.blank_4165NPanc-76-Scene-001_c1_ORG.tif,R6,c1,ORG,4165NPanc-76-Scene-001,DAPI
Registered-R6_blank.blank.blank.blank_4165NPanc-76-Scene-001_c2_ORG.tif,R6,c2,ORG,4165NPanc-76-Scene-001,blank
Registered-R6_blank.blank.blank.blank_4165NPanc-76-Scene-001_c3_ORG.tif,R6,c3,ORG,4165NPanc-76-Scene-001,blank
Registered-R6_blank.blank.blank.blank_4165NPanc-76-Scene-001_c4_ORG.tif,R6,c4,ORG,4165NPanc-76-Scene-001,blank
Registered-R6_blank.blank.blank.blank_4165NPanc-76-Scene-001_c5_ORG.tif,R6,c5,ORG,4165NPanc-76-Scene-001,blank
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c1_ORG.tif,R6,c1,ORG,4165NPanc-77-Scene-001,DAPI
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c2_ORG.tif,R6,c2,ORG,4165NPanc-77-Scene-001,CK7
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c3_ORG.tif,R6,c3,ORG,4165NPanc-77-Scene-001,CoxIV
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c4_ORG.tif,R6,c4,ORG,4165NPanc-77-Scene-001,LaminB1
Registered-R6_CK7.CoxIV.LaminB1.Ecad_4165NPanc-77-Scene-001_c5_ORG.tif,R6,c5,ORG,4165NPanc-77-Scene-001,Ecad
Registered-R6_blank.blank.blank.blank_4165NPanc-78-Scene-001_c1_ORG.tif,R6,c1,ORG,4165NPanc-78-Scene-001,DAPI
Registered-R6_blank.blank.blank.blank_4165NPanc-78-Scene-001_c2_ORG.tif,R6,c2,ORG,4165NPanc-78-Scene-001,blank
Registered-R6_blank.blank.blank.blank_4165NPanc-78-Scene-001_c3_ORG.tif,R6,c3,ORG,4165NPanc-78-Scene-001,blank
