,0,1,2,3,4
R5_blank.blank.blank.blank_4165NPanc-76_2018_09_17__13_37__0537.czi,7.0,12.0,35.0,120.0,160.0
R4_blank.blank.blank.blank_4165NPanc-76_2018_09_14__14_26__0526.czi,10.0,12.0,35.0,120.0,160.0
R3_blank.blank.blank.blank_4165NPanc-76_2018_09_10__13_53__0464.czi,8.0,12.0,35.0,120.0,160.0
R1_blank.blank.blank.blank_4165NPanc-76_2018_09_06__12_20__0436.czi,10.0,12.0,35.0,120.0,160.0
R2_blank.blank.blank.blank_4165NPanc-76_2018_09_07__14_28__0453.czi,10.0,12.0,35.0,120.0,160.0
R6_blank.blank.blank.blank_4165NPanc-76_2018_09_18__17_56__0550.czi,7.0,12.0,35.0,120.0,160.0
