,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R1_panCK.CK14.Ki67.CK19_HER2B-K175-Scene-08_c5_ORG.tif,R1,c5,ORG,HER2B-K175-Scene-08,CK19,HER2B-K175,80.0,1.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-02_c1_ORG.tif,R2,c1,ORG,HER2B-K175-Scene-02,DAPI,HER2B-K175,10.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-02_c2_ORG.tif,R2,c2,ORG,HER2B-K175-Scene-02,PCNA,HER2B-K175,50.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-02_c3_ORG.tif,R2,c3,ORG,HER2B-K175-Scene-02,HER2,HER2B-K175,50.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-02_c4_ORG.tif,R2,c4,ORG,HER2B-K175-Scene-02,ER,HER2B-K175,500.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-02_c5_ORG.tif,R2,c5,ORG,HER2B-K175-Scene-02,Ecad,HER2B-K175,150.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-06_c1_ORG.tif,R2,c1,ORG,HER2B-K175-Scene-06,DAPI,HER2B-K175,10.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-06_c2_ORG.tif,R2,c2,ORG,HER2B-K175-Scene-06,PCNA,HER2B-K175,50.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-06_c3_ORG.tif,R2,c3,ORG,HER2B-K175-Scene-06,HER2,HER2B-K175,50.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-06_c4_ORG.tif,R2,c4,ORG,HER2B-K175-Scene-06,ER,HER2B-K175,500.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-06_c5_ORG.tif,R2,c5,ORG,HER2B-K175-Scene-06,Ecad,HER2B-K175,150.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-08_c1_ORG.tif,R2,c1,ORG,HER2B-K175-Scene-08,DAPI,HER2B-K175,10.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-08_c2_ORG.tif,R2,c2,ORG,HER2B-K175-Scene-08,PCNA,HER2B-K175,50.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-08_c3_ORG.tif,R2,c3,ORG,HER2B-K175-Scene-08,HER2,HER2B-K175,50.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-08_c4_ORG.tif,R2,c4,ORG,HER2B-K175-Scene-08,ER,HER2B-K175,500.0,2.0
Registered-R2_PCNA.HER2.ER.Ecad_HER2B-K175-Scene-08_c5_ORG.tif,R2,c5,ORG,HER2B-K175-Scene-08,Ecad,HER2B-K175,150.0,2.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-02_c1_ORG.tif,R3,c1,ORG,HER2B-K175-Scene-02,DAPI,HER2B-K175,10.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-02_c2_ORG.tif,R3,c2,ORG,HER2B-K175-Scene-02,aSMA,HER2B-K175,50.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-02_c3_ORG.tif,R3,c3,ORG,HER2B-K175-Scene-02,AR,HER2B-K175,250.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-02_c4_ORG.tif,R3,c4,ORG,HER2B-K175-Scene-02,pAKT,HER2B-K175,500.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-02_c5_ORG.tif,R3,c5,ORG,HER2B-K175-Scene-02,CD44,HER2B-K175,150.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-06_c1_ORG.tif,R3,c1,ORG,HER2B-K175-Scene-06,DAPI,HER2B-K175,10.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-06_c2_ORG.tif,R3,c2,ORG,HER2B-K175-Scene-06,aSMA,HER2B-K175,50.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-06_c3_ORG.tif,R3,c3,ORG,HER2B-K175-Scene-06,AR,HER2B-K175,250.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-06_c4_ORG.tif,R3,c4,ORG,HER2B-K175-Scene-06,pAKT,HER2B-K175,500.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-06_c5_ORG.tif,R3,c5,ORG,HER2B-K175-Scene-06,CD44,HER2B-K175,150.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-08_c1_ORG.tif,R3,c1,ORG,HER2B-K175-Scene-08,DAPI,HER2B-K175,10.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-08_c2_ORG.tif,R3,c2,ORG,HER2B-K175-Scene-08,aSMA,HER2B-K175,50.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-08_c3_ORG.tif,R3,c3,ORG,HER2B-K175-Scene-08,AR,HER2B-K175,250.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-08_c4_ORG.tif,R3,c4,ORG,HER2B-K175-Scene-08,pAKT,HER2B-K175,500.0,3.0
Registered-R3_aSMA.AR.pAKT.CD44_HER2B-K175-Scene-08_c5_ORG.tif,R3,c5,ORG,HER2B-K175-Scene-08,CD44,HER2B-K175,150.0,3.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-02_c1_ORG.tif,R4,c1,ORG,HER2B-K175-Scene-02,DAPI,HER2B-K175,10.0,4.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-02_c2_ORG.tif,R4,c2,ORG,HER2B-K175-Scene-02,CK5,HER2B-K175,30.0,4.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-02_c3_ORG.tif,R4,c3,ORG,HER2B-K175-Scene-02,EGFR,HER2B-K175,350.0,4.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-02_c4_ORG.tif,R4,c4,ORG,HER2B-K175-Scene-02,pRB,HER2B-K175,1000.0,4.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-02_c5_ORG.tif,R4,c5,ORG,HER2B-K175-Scene-02,LamAC,HER2B-K175,250.0,4.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-06_c1_ORG.tif,R4,c1,ORG,HER2B-K175-Scene-06,DAPI,HER2B-K175,10.0,4.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-06_c2_ORG.tif,R4,c2,ORG,HER2B-K175-Scene-06,CK5,HER2B-K175,30.0,4.0
Registered-R4_CK5.EGFR.pRB.LamAC_HER2B-K175-Scene-06_c3_ORG.tif,R4,c3,ORG,HER2B-K175-Scene-06,EGFR,HER2B-K175,350.0,4.0
