,0,1,2,3,4
R6_pHH3.pS6.pERK.CD20_Her2B-K154_2019_01_09__6461-Stitching-03-Scene-06.czi,7.0,40.0,800.0,1000.0,1000.0
R0_blnk.blnk.blnk.blnk_Her2B-K154_2019_01_02__6329-Scene-06.czi,1.004,80.0,600.0,1000.0,2000.0
R11_Fibrillarin.Her2.LaminB2.LaminAC_Her2B-K154_2019_2019_01_15__6762-Stitching-01-Scene-06.czi,7.0,150.0,60.0,200.0,750.0
R2_CK5.Her2.ER.CD45_Her2B-K154_2019_01_04__6341-Scene-06.czi,10.0,20.0,60.0,700.0,800.0
R1_PCNA.CD8.PD1.CK19_Her2B-K154_2019_01_03__6332-Scene-06.czi,10.0,50.0,350.0,700.0,30.0
R9_CK8.cPARP.pRB_Her2B-K154_2019_2019_01_13__6668-Stitching-05-Scene-06.czi,7.0,80.0,1500.0,3000.0,
R7_CK17.EGFR.pAkT.GRNZB_Her2B-K154_2019_01_10__6537-Stitching-01-Scene-06.czi,7.0,50.0,800.0,1000.0,300.0
R3_aSMA.CD68.CD4.Ecad_Her2B-K154_2019_01_05__6349-Stitching-02-Scene-06.czi,10.0,13.0,90.0,900.0,150.0
R5_CK7.CK14.Ki67.PgR_Her2B-K154_2019_01_08__6445-Stitching-05-Scene-06.czi,10.0,20.0,50.0,400.0,600.0
R10_LaminB1.H3K4.ColIV.FoxP3_Her2B-K154_2019_2019_01_14__6697-Stitching-03-Scene-06.czi,7.0,100.0,500.0,1000.0,800.0
R8_H3K27.PDPN.gH2AX.ColI_Her2B-K154_2019_2019_01_11__6617-Stitching-07-Scene-06.czi,7.0,30.0,300.0,1000.0,50.0
R4_Vim.AR.CD31.CD44_Her2B-K154_2019_01_07__6353-Stitching-03-Scene-06.czi,10.0,25.0,800.0,500.0,500.0
