,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-002_c1_ORG.tif,R0,c1,ORG,Her2B-K154-Scene-002,DAPI,Her2B-K154,1.004,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-002_c2_ORG.tif,R0,c2,ORG,Her2B-K154-Scene-002,L488,Her2B-K154,80.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-002_c3_ORG.tif,R0,c3,ORG,Her2B-K154-Scene-002,L555,Her2B-K154,600.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-002_c4_ORG.tif,R0,c4,ORG,Her2B-K154-Scene-002,L647,Her2B-K154,1000.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-002_c5_ORG.tif,R0,c5,ORG,Her2B-K154-Scene-002,L750,Her2B-K154,2000.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-006_c1_ORG.tif,R0,c1,ORG,Her2B-K154-Scene-006,DAPI,Her2B-K154,1.004,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-006_c2_ORG.tif,R0,c2,ORG,Her2B-K154-Scene-006,L488,Her2B-K154,80.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-006_c3_ORG.tif,R0,c3,ORG,Her2B-K154-Scene-006,L555,Her2B-K154,600.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-006_c4_ORG.tif,R0,c4,ORG,Her2B-K154-Scene-006,L647,Her2B-K154,1000.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-006_c5_ORG.tif,R0,c5,ORG,Her2B-K154-Scene-006,L750,Her2B-K154,2000.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-008_c1_ORG.tif,R0,c1,ORG,Her2B-K154-Scene-008,DAPI,Her2B-K154,1.004,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-008_c2_ORG.tif,R0,c2,ORG,Her2B-K154-Scene-008,L488,Her2B-K154,80.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-008_c3_ORG.tif,R0,c3,ORG,Her2B-K154-Scene-008,L555,Her2B-K154,600.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-008_c4_ORG.tif,R0,c4,ORG,Her2B-K154-Scene-008,L647,Her2B-K154,1000.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K154-Scene-008_c5_ORG.tif,R0,c5,ORG,Her2B-K154-Scene-008,L750,Her2B-K154,2000.0,0.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-002_c1_ORG.tif,R1,c1,ORG,Her2B-K154-Scene-002,DAPI,Her2B-K154,10.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-002_c2_ORG.tif,R1,c2,ORG,Her2B-K154-Scene-002,PCNA,Her2B-K154,50.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-002_c3_ORG.tif,R1,c3,ORG,Her2B-K154-Scene-002,CD8,Her2B-K154,350.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-002_c4_ORG.tif,R1,c4,ORG,Her2B-K154-Scene-002,PD1,Her2B-K154,700.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-002_c5_ORG.tif,R1,c5,ORG,Her2B-K154-Scene-002,CK19,Her2B-K154,30.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-006_c1_ORG.tif,R1,c1,ORG,Her2B-K154-Scene-006,DAPI,Her2B-K154,10.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-006_c2_ORG.tif,R1,c2,ORG,Her2B-K154-Scene-006,PCNA,Her2B-K154,50.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-006_c3_ORG.tif,R1,c3,ORG,Her2B-K154-Scene-006,CD8,Her2B-K154,350.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-006_c4_ORG.tif,R1,c4,ORG,Her2B-K154-Scene-006,PD1,Her2B-K154,700.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-006_c5_ORG.tif,R1,c5,ORG,Her2B-K154-Scene-006,CK19,Her2B-K154,30.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-008_c1_ORG.tif,R1,c1,ORG,Her2B-K154-Scene-008,DAPI,Her2B-K154,10.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-008_c2_ORG.tif,R1,c2,ORG,Her2B-K154-Scene-008,PCNA,Her2B-K154,50.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-008_c3_ORG.tif,R1,c3,ORG,Her2B-K154-Scene-008,CD8,Her2B-K154,350.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-008_c4_ORG.tif,R1,c4,ORG,Her2B-K154-Scene-008,PD1,Her2B-K154,700.0,1.0
Registered-R1_PCNA.CD8.PD1.CK19_Her2B-K154-Scene-008_c5_ORG.tif,R1,c5,ORG,Her2B-K154-Scene-008,CK19,Her2B-K154,30.0,1.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-002_c1_ORG.tif,R2,c1,ORG,Her2B-K154-Scene-002,DAPI,Her2B-K154,10.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-002_c2_ORG.tif,R2,c2,ORG,Her2B-K154-Scene-002,CK5,Her2B-K154,20.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-002_c3_ORG.tif,R2,c3,ORG,Her2B-K154-Scene-002,HER2,Her2B-K154,60.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-002_c4_ORG.tif,R2,c4,ORG,Her2B-K154-Scene-002,ER,Her2B-K154,700.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-002_c5_ORG.tif,R2,c5,ORG,Her2B-K154-Scene-002,CD45,Her2B-K154,800.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-006_c1_ORG.tif,R2,c1,ORG,Her2B-K154-Scene-006,DAPI,Her2B-K154,10.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-006_c2_ORG.tif,R2,c2,ORG,Her2B-K154-Scene-006,CK5,Her2B-K154,20.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-006_c3_ORG.tif,R2,c3,ORG,Her2B-K154-Scene-006,HER2,Her2B-K154,60.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-006_c4_ORG.tif,R2,c4,ORG,Her2B-K154-Scene-006,ER,Her2B-K154,700.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-006_c5_ORG.tif,R2,c5,ORG,Her2B-K154-Scene-006,CD45,Her2B-K154,800.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-008_c1_ORG.tif,R2,c1,ORG,Her2B-K154-Scene-008,DAPI,Her2B-K154,10.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-008_c2_ORG.tif,R2,c2,ORG,Her2B-K154-Scene-008,CK5,Her2B-K154,20.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-008_c3_ORG.tif,R2,c3,ORG,Her2B-K154-Scene-008,HER2,Her2B-K154,60.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-008_c4_ORG.tif,R2,c4,ORG,Her2B-K154-Scene-008,ER,Her2B-K154,700.0,2.0
Registered-R2_CK5.HER2.ER.CD45_Her2B-K154-Scene-008_c5_ORG.tif,R2,c5,ORG,Her2B-K154-Scene-008,CD45,Her2B-K154,800.0,2.0
