,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R2_R2c2.R2c3.R2c4.R2c5_NPPan4165-66-Scene-1_c3_ORG.tif,R2,c3,ORG,NPPan4165-66-Scene-1,R2c3,NPPan4165-66,200.0,2.0
Registered-R2_R2c2.R2c3.R2c4.R2c5_NPPan4165-66-Scene-1_c4_ORG.tif,R2,c4,ORG,NPPan4165-66-Scene-1,R2c4,NPPan4165-66,500.0,2.0
Registered-R2_R2c2.R2c3.R2c4.R2c5_NPPan4165-66-Scene-1_c5_ORG.tif,R2,c5,ORG,NPPan4165-66-Scene-1,R2c5,NPPan4165-66,500.0,2.0
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-65-Scene-1_c1_ORG.tif,R3,c1,ORG,NPPan4165-65-Scene-1,DAPI,NPPan4165-65,15.0,3.0
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-65-Scene-1_c2_ORG.tif,R3,c2,ORG,NPPan4165-65-Scene-1,R3c2,NPPan4165-65,50.0,3.0
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-65-Scene-1_c3_ORG.tif,R3,c3,ORG,NPPan4165-65-Scene-1,R3c3,NPPan4165-65,200.0,3.0
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-65-Scene-1_c4_ORG.tif,R3,c4,ORG,NPPan4165-65-Scene-1,R3c4,NPPan4165-65,500.0,3.0
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-65-Scene-1_c5_ORG.tif,R3,c5,ORG,NPPan4165-65-Scene-1,R3c5,NPPan4165-65,500.0,3.0
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-66-Scene-1_c1_ORG.tif,R3,c1,ORG,NPPan4165-66-Scene-1,DAPI,NPPan4165-66,15.0,3.0
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-66-Scene-1_c2_ORG.tif,R3,c2,ORG,NPPan4165-66-Scene-1,R3c2,NPPan4165-66,50.0,3.0
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-66-Scene-1_c3_ORG.tif,R3,c3,ORG,NPPan4165-66-Scene-1,R3c3,NPPan4165-66,200.0,3.0
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-66-Scene-1_c4_ORG.tif,R3,c4,ORG,NPPan4165-66-Scene-1,R3c4,NPPan4165-66,500.0,3.0
Registered-R3_R3c2.R3c3.R3c4.R3c5_NPPan4165-66-Scene-1_c5_ORG.tif,R3,c5,ORG,NPPan4165-66-Scene-1,R3c5,NPPan4165-66,500.0,3.0
