,rounds,color,imagetype,scene,marker
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-07_c4_ORG.tif,R0,c4,ORG,JE-TMA-43-Scene-07,R0c4
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-07_c5_ORG.tif,R0,c5,ORG,JE-TMA-43-Scene-07,R0c5
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-08_c1_ORG.tif,R0,c1,ORG,JE-TMA-43-Scene-08,DAPI
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-08_c2_ORG.tif,R0,c2,ORG,JE-TMA-43-Scene-08,R0c2
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-08_c3_ORG.tif,R0,c3,ORG,JE-TMA-43-Scene-08,R0c3
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-08_c4_ORG.tif,R0,c4,ORG,JE-TMA-43-Scene-08,R0c4
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-08_c5_ORG.tif,R0,c5,ORG,JE-TMA-43-Scene-08,R0c5
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-09_c1_ORG.tif,R0,c1,ORG,JE-TMA-43-Scene-09,DAPI
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-09_c2_ORG.tif,R0,c2,ORG,JE-TMA-43-Scene-09,R0c2
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-09_c3_ORG.tif,R0,c3,ORG,JE-TMA-43-Scene-09,R0c3
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-09_c4_ORG.tif,R0,c4,ORG,JE-TMA-43-Scene-09,R0c4
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-09_c5_ORG.tif,R0,c5,ORG,JE-TMA-43-Scene-09,R0c5
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-10_c1_ORG.tif,R0,c1,ORG,JE-TMA-43-Scene-10,DAPI
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-10_c2_ORG.tif,R0,c2,ORG,JE-TMA-43-Scene-10,R0c2
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-10_c3_ORG.tif,R0,c3,ORG,JE-TMA-43-Scene-10,R0c3
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-10_c4_ORG.tif,R0,c4,ORG,JE-TMA-43-Scene-10,R0c4
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-10_c5_ORG.tif,R0,c5,ORG,JE-TMA-43-Scene-10,R0c5
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-11_c1_ORG.tif,R0,c1,ORG,JE-TMA-43-Scene-11,DAPI
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-11_c2_ORG.tif,R0,c2,ORG,JE-TMA-43-Scene-11,R0c2
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-11_c3_ORG.tif,R0,c3,ORG,JE-TMA-43-Scene-11,R0c3
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-11_c4_ORG.tif,R0,c4,ORG,JE-TMA-43-Scene-11,R0c4
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-11_c5_ORG.tif,R0,c5,ORG,JE-TMA-43-Scene-11,R0c5
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-13_c1_ORG.tif,R0,c1,ORG,JE-TMA-43-Scene-13,DAPI
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-13_c2_ORG.tif,R0,c2,ORG,JE-TMA-43-Scene-13,R0c2
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-13_c3_ORG.tif,R0,c3,ORG,JE-TMA-43-Scene-13,R0c3
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-13_c4_ORG.tif,R0,c4,ORG,JE-TMA-43-Scene-13,R0c4
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-13_c5_ORG.tif,R0,c5,ORG,JE-TMA-43-Scene-13,R0c5
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-14_c1_ORG.tif,R0,c1,ORG,JE-TMA-43-Scene-14,DAPI
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-14_c2_ORG.tif,R0,c2,ORG,JE-TMA-43-Scene-14,R0c2
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-14_c3_ORG.tif,R0,c3,ORG,JE-TMA-43-Scene-14,R0c3
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-14_c4_ORG.tif,R0,c4,ORG,JE-TMA-43-Scene-14,R0c4
Registered-R0_R0c2.R0c3.R0c4.R0c5_JE-TMA-43-Scene-14_c5_ORG.tif,R0,c5,ORG,JE-TMA-43-Scene-14,R0c5
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-01_c1_ORG.tif,R1,c1,ORG,JE-TMA-43-Scene-01,DAPI
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-01_c2_ORG.tif,R1,c2,ORG,JE-TMA-43-Scene-01,R1c2
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-01_c3_ORG.tif,R1,c3,ORG,JE-TMA-43-Scene-01,CK14
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-01_c4_ORG.tif,R1,c4,ORG,JE-TMA-43-Scene-01,Ki67
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-01_c5_ORG.tif,R1,c5,ORG,JE-TMA-43-Scene-01,CK19
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-02_c1_ORG.tif,R1,c1,ORG,JE-TMA-43-Scene-02,DAPI
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-02_c2_ORG.tif,R1,c2,ORG,JE-TMA-43-Scene-02,R1c2
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-02_c3_ORG.tif,R1,c3,ORG,JE-TMA-43-Scene-02,CK14
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-02_c4_ORG.tif,R1,c4,ORG,JE-TMA-43-Scene-02,Ki67
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-02_c5_ORG.tif,R1,c5,ORG,JE-TMA-43-Scene-02,CK19
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-03_c1_ORG.tif,R1,c1,ORG,JE-TMA-43-Scene-03,DAPI
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-03_c2_ORG.tif,R1,c2,ORG,JE-TMA-43-Scene-03,R1c2
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-03_c3_ORG.tif,R1,c3,ORG,JE-TMA-43-Scene-03,CK14
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-03_c4_ORG.tif,R1,c4,ORG,JE-TMA-43-Scene-03,Ki67
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-03_c5_ORG.tif,R1,c5,ORG,JE-TMA-43-Scene-03,CK19
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-04_c1_ORG.tif,R1,c1,ORG,JE-TMA-43-Scene-04,DAPI
Registered-R1_R1c2.CK14.Ki67.CK19_JE-TMA-43-Scene-04_c2_ORG.tif,R1,c2,ORG,JE-TMA-43-Scene-04,R1c2
