,rounds,color,imagetype,scene,marker,tissue,exposure,round_int
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-002_c1_ORG.tif,R0,c1,ORG,Her2B-K157-Scene-002,DAPI,Her2B-K157,20.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-002_c2_ORG.tif,R0,c2,ORG,Her2B-K157-Scene-002,L488,Her2B-K157,50.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-002_c3_ORG.tif,R0,c3,ORG,Her2B-K157-Scene-002,L555,Her2B-K157,200.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-002_c4_ORG.tif,R0,c4,ORG,Her2B-K157-Scene-002,L647,Her2B-K157,500.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-002_c5_ORG.tif,R0,c5,ORG,Her2B-K157-Scene-002,L750,Her2B-K157,500.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-006_c1_ORG.tif,R0,c1,ORG,Her2B-K157-Scene-006,DAPI,Her2B-K157,20.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-006_c2_ORG.tif,R0,c2,ORG,Her2B-K157-Scene-006,L488,Her2B-K157,50.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-006_c3_ORG.tif,R0,c3,ORG,Her2B-K157-Scene-006,L555,Her2B-K157,200.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-006_c4_ORG.tif,R0,c4,ORG,Her2B-K157-Scene-006,L647,Her2B-K157,500.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-006_c5_ORG.tif,R0,c5,ORG,Her2B-K157-Scene-006,L750,Her2B-K157,500.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-008_c1_ORG.tif,R0,c1,ORG,Her2B-K157-Scene-008,DAPI,Her2B-K157,20.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-008_c2_ORG.tif,R0,c2,ORG,Her2B-K157-Scene-008,L488,Her2B-K157,50.0,0.0
Registered-R0_L488.L555.L647.L750_Her2B-K157-Scene-008_c3_ORG.tif,R0,c3,ORG,Her2B-K157-Scene-008,L555,Her2B-K157,200.0,0.0
